pos index,depth index,depth,current joint position,current joint effort,current torque offset
0,0,0.0966426324,-0.002212563,0.2245435265,0.0892154562
1,0,0.0966474935,-0.0046139468,0.1849410672,0.100331522
2,0,0.0966513824,-0.0069539348,0.1415860506,0.100331522
3,0,0.0966513824,-0.0093584077,0.1031636407,0.0889794464
4,0,0.0966578639,-0.0117335342,0.0637027873,0.0921655799
5,0,0.0966578639,-0.0141337596,0.0265076288,0.0841884456
6,0,0.0966565676,-0.0164934406,-0.0159033483,0.0823239675
7,0,0.0966565676,-0.0188411514,-0.0596831827,0.0841648446
8,0,0.0966578639,-0.0212649311,-0.0944946413,0.0809315091
9,0,0.0966604564,-0.0237535818,-0.1237362665,0.0809315091
10,0,0.0966604564,-0.0262372127,-0.152435069,0.0793974449
11,0,0.0966600027,-0.0287258633,-0.1814406844,0.0784062033
12,0,0.0966591601,-0.0310751187,-0.224583292,0.0824419724
13,0,0.0966578639,-0.033452562,-0.2631001059,0.0764945232
14,0,0.0966604564,-0.035928084,-0.2935689826,0.0711370988
15,0,0.0966604564,-0.0383846853,-0.3253831156,0.0730251779
16,0,0.0966591601,-0.0407976532,-0.3612566187,0.0688950048
17,0,0.0966604564,-0.0432631357,-0.3923155201,0.0668653198
18,0,0.0966617527,-0.0457398161,-0.4220999681,0.0668653198
19,0,0.0966656416,-0.0481736354,-0.4552593575,0.0717979264
20,0,0.0966656416,-0.0506101576,-0.4895515943,0.0717743255
21,0,0.0966695305,-0.053081046,-0.5188876235,0.0698390444
22,0,0.0966695305,-0.0555789639,-0.5453679331,0.0675733494
23,0,0.096672123,-0.0579807339,-0.5831295153,0.0737568085
24,0,0.0966747156,-0.0604106918,-0.6160764958,0.072718365
25,0,0.0966786045,-0.0628931643,-0.6433592389,0.072718365
26,0,0.0966824934,-0.0654397354,-0.6667478189,0.0658268763
27,0,0.0966863822,-0.067863129,-0.7023145092,0.0714675126
28,0,0.0966902711,-0.0703278392,-0.7318865483,0.0723643502
29,0,0.0966958451,-0.0727763317,-0.7616001933,0.0708538869
30,0,0.0967031044,-0.0753051405,-0.7852955861,0.0718215274
31,0,0.0967082247,-0.0777563359,-0.8149148272,0.074842454
32,0,0.0967142525,-0.0801897691,-0.8478618077,0.0716563205
33,0,0.096721058,-0.0827274591,-0.8711559837,0.0710426948
34,0,0.096747243,-0.0852041395,-0.8986511358,0.0715855175
35,0,0.096752493,-0.0876673052,-0.9274443422,0.0715855175
36,0,0.0967598171,-0.090122362,-0.9569927803,0.0656616693
37,0,0.0967662985,-0.0926438342,-0.9806645722,0.0641040041
37,0,0.0967733633,-0.0932126135,-0.9292616184,0.0726003601
36,0,0.0967706411,-0.0909421301,-0.8741061073,0.1316500343
35,0,0.0967680485,-0.0886033004,-0.8337484163,0.1316500343
34,0,0.0967667522,-0.0862775994,-0.7902989958,0.1399575824
33,0,0.0967641596,-0.083959235,-0.7458583337,0.1466366622
32,0,0.0967602708,-0.0815953065,-0.7071055099,0.1456218197
31,0,0.0967576782,-0.0791777049,-0.6726716671,0.1477695097
30,0,0.0967550856,-0.0768384891,-0.630473099,0.1508376382
