pos index,depth index,current joint depth,current joint position,current joint effort,current torque offset
13,0,0.0970667137,-0.0313234045,-0.8847148507,-0.2468745249
12,0,0.0970636026,-0.0294027609,-0.7637833836,-0.1305688517
11,0,0.0970558249,-0.0272226334,-0.673627606,-0.1222141016
10,0,0.0970493434,-0.0250046645,-0.5878380114,-0.1078647004
9,0,0.0970482416,-0.0226712408,-0.5119844331,-0.1010676156
8,0,0.0970441583,-0.0199119083,-0.4792970635,-0.0941289248
7,0,0.097042862,-0.01749199,-0.4129074818,-0.0832488689
6,0,0.0970402694,-0.0151786453,-0.3343869917,-0.0832488689
5,0,0.0970415657,-0.0128857659,-0.2542852354,-0.0625035997
4,0,0.0970415657,-0.0104449962,-0.1907277723,-0.0705987389
3,0,0.0970453249,-0.0079771969,-0.1301912358,-0.0650997085
2,0,0.0970454546,-0.0056661691,-0.0521427656,-0.0824936373
1,0,0.0970441583,-0.0032616962,0.0179757724,-0.1483875983
0,0,0.0970441583,-0.0007294121,0.074028121,-0.1477739726
0,0,0.0970460379,-0.0006749669,0.0672782382,-0.1477739726
1,0,0.0970462971,0.0019395644,0.1154242555,-0.0664449648
2,0,0.0970494731,0.0042880474,0.188776129,-0.0274089292
3,0,0.097051936,0.0069732416,0.2304318744,-0.0274089292
4,0,0.0970545286,0.0095279217,0.2824484539,-0.0241283918
5,0,0.0970584175,0.0119764141,0.3466903457,-0.0056016155
6,0,0.0970597138,0.0146021433,0.3919098404,-0.0099441974
7,0,0.0970636026,0.0171826945,0.4409998973,0.0025643267
8,0,0.0970674915,0.0195914149,0.5090651493,0.0309091143
9,0,0.0970700841,0.0222229361,0.5543790479,0.0339536419
10,0,0.0970733248,0.0246501911,0.620013398,0.040160702
11,0,0.0970747507,0.0269801396,0.6940969022,0.029516656
12,0,0.0970778618,0.0294938891,0.7521789358,0.0320183608
13,0,0.0970778618,0.0318987481,0.819701365,0.0320183608
14,0,0.097083047,0.0343715672,0.881512355,0.0378006031
15,0,0.0970856396,0.036840911,0.9423321033,0.0300830797
15,0,0.0970917969,0.0377085601,0.8596342382,0.0300830797
14,0,0.097089334,0.0355766997,0.7612417156,0.0276049759
13,0,0.0970895284,0.0333857604,0.6724075934,-0.0651469105
12,0,0.0970882321,0.0312488802,0.5788296724,-0.0961822108
11,0,0.0970856396,0.0288169916,0.5125580956,-0.1231817421
10,0,0.0970856396,0.0264198553,0.4444928437,-0.1393484195
9,0,0.0970856396,0.0239980063,0.3787404886,-0.1396080304
8,0,0.0970778618,0.0215873552,0.3112416604,-0.1396080304
7,0,0.0970752692,0.0190106654,0.2597207016,-0.1535798158
6,0,0.0970739729,0.0165563809,0.1975320959,-0.1649790935
5,0,0.0970700841,0.014070047,0.1376799881,-0.1803669382
4,0,0.0970674915,0.0114952879,0.0874334827,-0.183057451
3,0,0.0970597138,0.0090695775,0.0200762604,-0.1875888408
2,0,0.0970571212,0.0065998475,-0.0423483552,-0.1473255538
1,0,0.0970558249,0.0039926529,-0.0895975349,-0.0984479058
0,0,0.0970558249,0.00162216,-0.1620997728,-0.1762603662
-1,0,0.0970558249,-0.0007070162,-0.2374341294,-0.2059740112
-2,0,0.0970527786,-0.0032049341,-0.2971446313,-0.2059740112
-3,0,0.097051936,-0.005674278,-0.3597816558,-0.2164056483
-4,0,0.0970506397,-0.0080300976,-0.4318826768,-0.2205358213
-5,0,0.0970493434,-0.010450016,-0.4981542536,-0.2364900898
-6,0,0.0970493434,-0.0129274687,-0.5598236376,-0.2346020107
-7,0,0.0970493434,-0.0152759518,-0.6331047081,-0.2345548087
-8,0,0.0970506397,-0.0176974147,-0.7003911274,-0.2345548087
-9,0,0.0970493434,-0.0201544021,-0.7639721915,-0.2526331662
0,0,0.0970467509,6.56432294309083e-06,-0.0018254573,-0.0882050766
1,0,0.097051936,-0.0023843938,-0.0706459409,-0.1897601318
2,0,0.0970542693,-0.0047070057,-0.1475143617,-0.1671503844
3,0,0.0970571212,-0.0068083613,-0.2448920419,-0.1671503844
4,0,0.0970545286,-0.0092514478,-0.310384786,-0.1853467469
5,0,0.0970558249,-0.011645495,-0.3800077033,-0.208475716
6,0,0.0970558249,-0.0139692654,-0.4557668776,-0.2104109971
7,0,0.0970555656,-0.016262917,-0.5347357864,-0.2156976186
8,0,0.0970533619,-0.0187766666,-0.5916613716,-0.2371981195
9,0,0.0970571212,-0.0211027537,-0.6691434182,-0.2440660072
10,0,0.0970542693,-0.0231786243,-0.7665210983,-0.2440660072
11,0,0.0970558249,-0.0259954911,-0.7950310929,-0.2434287805
12,0,0.0970621119,-0.0282767864,-0.8773277412,-0.2420599232
13,0,0.0970674915,-0.030267707,-0.9845234327,-0.2468745249
15,1,0.1063169743,-0.0324339335,-0.8864377229,-0.2501314614
14,1,0.106304854,-0.0305279631,-0.7923641812,-0.1359970791
